,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
0,72032104893,2022-01-01T00:15:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"320,1,N,0015,1","00701,1,9,N","008047,1,9,9","-0010,1","-0030,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00701,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10088,1,99999,9",,,MET068METAR KSLH 010015Z AUTO 32003KT 5SM BR OVC023 M01/M03 A2979 RMK AO2=,
1,72032104893,2022-01-01T00:35:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"310,1,N,0015,1","00701,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00213,1,9","4,99,1,+00701,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9","10091,1,99999,9",,,MET073METAR KSLH 010035Z AUTO 31003KT 10SM SCT007 OVC023 M02/M03 A2980 RMK AO2=,
2,72032104893,2022-01-01T00:55:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"330,1,N,0015,1","00640,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00213,1,9","4,99,1,+00640,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9","10088,1,99999,9",,,MET073METAR KSLH 010055Z AUTO 33003KT 10SM SCT007 OVC021 M02/M03 A2979 RMK AO2=,
3,72032104893,2022-01-01T01:15:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"320,1,N,0015,1","00640,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00213,1,9","4,99,1,+00640,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9","10088,1,99999,9",,,MET073METAR KSLH 010115Z AUTO 32003KT 10SM SCT007 OVC021 M02/M03 A2979 RMK AO2=,
4,72032104893,2022-01-01T01:35:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00640,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"4,99,1,+00640,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9","10085,1,99999,9",,,MET066METAR KSLH 010135Z AUTO 00000KT 10SM OVC021 M02/M03 A2978 RMK AO2=,
5,72032104893,2022-01-01T01:55:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"330,1,N,0015,1","00640,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00244,1,9","4,99,1,+00640,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10081,1,99999,9",,,MET073METAR KSLH 010155Z AUTO 33003KT 10SM SCT008 OVC021 M02/M03 A2977 RMK AO2=,
6,72032104893,2022-01-01T02:15:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"330,1,N,0021,1","00640,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00244,1,9","4,99,1,+00640,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9","10081,1,99999,9",,,MET073METAR KSLH 010215Z AUTO 33004KT 10SM SCT008 OVC021 M02/M03 A2977 RMK AO2=,
7,72032104893,2022-01-01T02:35:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"330,1,N,0021,1","00305,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"3,99,1,+00305,1,9","4,99,1,+00640,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10085,1,99999,9",,,MET073METAR KSLH 010235Z AUTO 33004KT 10SM BKN010 OVC021 M02/M03 A2978 RMK AO2=,
8,72032104893,2022-01-01T02:55:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"340,1,N,0021,1","00427,1,9,N","016093,1,9,9","-0020,1","-0030,1","99999,9",,,,,,,,,,,,"2,99,1,+00305,1,9","3,99,1,+00427,1,9","4,99,1,+00671,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10085,1,99999,9",,,MET080METAR KSLH 010255Z AUTO 34004KT 10SM SCT010 BKN014 OVC022 M02/M03 A2978 RMK AO2=,
9,72032104893,2022-01-01T03:15:00,4,45.65361,-84.51917,193.5,"CHEBOYGAN CO AIRPORT, MI US",FM-15,99999,V020,"360,1,N,0036,1","00305,1,9,N","016093,1,9,9","-0010,1","-0020,1","99999,9",,,,,,,,,,,,"3,99,1,+00305,1,9","3,99,1,+00427,1,9","4,99,1,+00671,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10078,1,99999,9",,,MET080METAR KSLH 010315Z AUTO 36007KT 10SM BKN010 BKN014 OVC022 M01/M02 A2976 RMK AO2=,
