,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AU1,AW1,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
0,72066900247,2022-01-01T00:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0057,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"1,99,1,+00457,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00457,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010000Z AUTO 21011KT 5SM BR FEW015 25/23 A2983 RMK A01=,D01      0ADE726
1,72066900247,2022-01-01T00:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0051,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"1,99,1,+00457,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00457,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010020Z AUTO 21010KT 5SM BR FEW015 25/23 A2983 RMK A01=,D01      0ADE726
2,72066900247,2022-01-01T00:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0051,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00549,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00549,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010040Z AUTO 21010KT 5SM BR SCT018 25/23 A2983 RMK A01=,D01      0ADE726
3,72066900247,2022-01-01T01:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0046,1","22000,5,9,N","006437,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"1,99,1,+00457,1,9","1,99,1,+00610,1,9",,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00457,1,99,9,99,9","10105,1,99999,9",,,MET073METAR KGUL 010100Z AUTO 21009KT 4SM BR FEW015 FEW020 25/23 A2984 RMK A01=,D01      0ADE726
4,72066900247,2022-01-01T01:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0051,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00457,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00457,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010120Z AUTO 21010KT 5SM BR SCT015 25/23 A2983 RMK A01=,D01      0ADE726
5,72066900247,2022-01-01T01:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0057,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00488,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00488,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010140Z AUTO 20011KT 5SM BR SCT016 25/23 A2983 RMK A01=,D01      0ADE726
6,72066900247,2022-01-01T02:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0046,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"1,99,1,+00518,1,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00518,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010200Z AUTO 20009KT 5SM BR FEW017 25/23 A2983 RMK A01=,D01      0ADE726
7,72066900247,2022-01-01T02:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0051,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010220Z AUTO 20010KT 5SM BR CLR 25/23 A2983 RMK A01=,
8,72066900247,2022-01-01T02:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0057,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010240Z AUTO 20011KT 5SM BR CLR 25/23 A2983 RMK A01=,
9,72066900247,2022-01-01T03:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0062,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010300Z AUTO 20012KT 5SM BR CLR 25/23 A2983 RMK A01=,
10,72066900247,2022-01-01T03:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"190,1,N,0062,1","22000,1,9,N","009656,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010320Z AUTO 19012KT 6SM BR CLR 25/23 A2983 RMK A01=,
11,72066900247,2022-01-01T03:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0067,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010340Z AUTO 20013KT 5SM BR CLR 25/23 A2983 RMK A01=,
12,72066900247,2022-01-01T04:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0062,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10098,1,99999,9",,,MET063METAR KGUL 010400Z AUTO 20012KT 5SM BR CLR 25/23 A2982 RMK A01=,
13,72066900247,2022-01-01T04:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0062,1","22000,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,MET063METAR KGUL 010420Z AUTO 20012KT 5SM BR CLR 25/23 A2983 RMK A01=,
14,72066900247,2022-01-01T04:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0062,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00518,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00518,1,99,9,99,9","10102,1,99999,9",,,MET066METAR KGUL 010440Z AUTO 20012KT 5SM BR SCT017 25/23 A2983 RMK A01=,D01      0ADE726
15,72066900247,2022-01-01T05:00:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0057,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00488,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00488,1,99,9,99,9","10098,1,99999,9",,,MET066METAR KGUL 010500Z AUTO 20011KT 5SM BR SCT016 25/23 A2982 RMK A01=,D01      0ADE726
16,72066900247,2022-01-01T05:20:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"210,1,N,0057,1","22000,5,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"2,99,1,+00549,1,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00549,1,99,9,99,9","10098,1,99999,9",,,MET066METAR KGUL 010520Z AUTO 21011KT 5SM BR SCT018 25/23 A2982 RMK A01=,D01      0ADE726
17,72066900247,2022-01-01T05:40:00,4,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,99999,V020,"200,1,N,0062,1","00579,1,9,N","008047,1,9,9","+0250,1","+0230,1","99999,9",,,,,"10,1",,,,"3,99,1,+00579,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9","10098,1,99999,9",,,MET066METAR KGUL 010540Z AUTO 20012KT 5SM BR BKN019 25/23 A2982 RMK A01=,
18,72066900247,2022-01-01T06:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0067,5","00640,5,M,N","008047,5,N,5","+0250,C","+0230,C","99999,9",,,,"0,0,00,1,0,1,5","10,5","04,5,+00457,5,99,9","07,5,+00640,5,99,9",,"2,99,1,+00457,5,9","3,99,1,+00640,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9","10095,5,09829,5",,,MET08501/01/22 00:00:02 METAR KGUL 010600Z 20013KT 5SM BR SCT015 BKN021 25/23 A2981 RMK A01,R01    257TMP046R02    237DPT046
19,72066900247,2022-01-01T06:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0062,5","22000,5,9,N","008047,5,N,5","+0250,5","+0230,5","99999,9",,,,"0,0,00,1,0,1,5","10,5","02,5,+00457,5,99,9",,,"1,99,1,+00457,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00457,1,99,9,99,9","10095,5,09829,5",,,MET07801/01/22 00:20:02 METAR KGUL 010620Z 20012KT 5SM BR FEW015 25/23 A2981 RMK A01,D01      0ADE726
20,72066900247,2022-01-01T06:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0062,5","22000,5,9,N","008047,5,N,5","+0250,5","+0230,5","99999,9",,,,"0,0,00,1,0,1,5","10,5","02,5,+00488,5,99,9","02,5,+00640,5,99,9",,"1,99,1,+00488,5,9","1,99,1,+00640,5,9",,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00488,1,99,9,99,9","10095,5,09829,5",,,MET08501/01/22 00:40:02 METAR KGUL 010640Z 20012KT 5SM BR FEW016 FEW021 25/23 A2981 RMK A01,D01      0ADE726
21,72066900247,2022-01-01T07:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0067,5","22000,5,9,N","008047,5,N,5","+0250,C","+0230,C","99999,9",,,,"0,0,00,7,0,1,5","05,1","02,5,+00518,5,99,9",,,"1,99,1,+00518,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00518,1,99,9,99,9","10091,5,09826,5","05,5",,MET07801/01/22 01:00:02 METAR KGUL 010700Z 20013KT 5SM HZ FEW017 25/23 A2980 RMK A01,R01    257TMP046R02    237DPT046D01      0ADE726
22,72066900247,2022-01-01T07:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0067,5","22000,5,9,N","008047,5,N,5","+0250,5","+0230,5","99999,9",,,,"0,0,00,1,0,1,5","10,5","04,5,+00518,5,99,9",,,"2,99,1,+00518,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00518,1,99,9,99,9","10095,5,09829,5",,,MET07801/01/22 01:20:02 METAR KGUL 010720Z 20013KT 5SM BR SCT017 25/23 A2981 RMK A01,D01      0ADE726
23,72066900247,2022-01-01T07:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0072,5","22000,5,9,N","009656,5,N,5","+0250,5","+0220,5","99999,9",,,,"0,0,00,7,0,1,5","05,1","02,5,+00518,5,99,9",,,"1,99,1,+00518,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00518,1,99,9,99,9","10091,5,09826,5","05,5",,MET07801/01/22 01:40:02 METAR KGUL 010740Z 20014KT 6SM HZ FEW017 25/22 A2980 RMK A01,D01      0ADE726
24,72066900247,2022-01-01T08:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0077,5","22000,5,9,N","009656,5,N,5","+0250,C","+0230,C","99999,9",,,,"0,0,00,7,0,1,5","05,1","02,5,+00640,5,99,9",,,"1,99,1,+00640,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00640,1,99,9,99,9","10091,5,09826,5","05,5",,MET07801/01/22 02:00:02 METAR KGUL 010800Z 20015KT 6SM HZ FEW021 25/23 A2980 RMK A01,R01    257TMP046R02    237DPT046D01      0ADE726
25,72066900247,2022-01-01T08:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0067,5","00792,5,M,N","008047,5,N,5","+0250,5","+0230,5","99999,9",,,,"0,0,00,7,0,1,5","05,1","07,5,+00792,5,99,9",,,"3,99,1,+00792,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00792,1,99,9,99,9","10091,5,09826,5","05,5",,MET07801/01/22 02:20:02 METAR KGUL 010820Z 20013KT 5SM HZ BKN026 25/23 A2980 RMK A01,
26,72066900247,2022-01-01T08:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0062,5","00823,5,M,N","008047,5,N,5","+0250,5","+0230,5","99999,9",,,,"0,0,00,1,0,1,5","10,5","07,5,+00823,5,99,9",,,"3,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10088,5,09823,5",,,MET07801/01/22 02:40:02 METAR KGUL 010840Z 20012KT 5SM BR BKN027 25/23 A2979 RMK A01,
27,72066900247,2022-01-01T09:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"200,5,N,0067,5","00823,5,M,N","008047,5,N,5","+0250,C","+0230,C","99999,9",,,,"0,0,00,1,0,1,5","10,5","07,5,+00823,5,99,9",,,"3,99,1,+00823,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10088,5,09823,5",,,MET07801/01/22 03:00:02 METAR KGUL 010900Z 20013KT 5SM BR BKN027 25/23 A2979 RMK A01,R01    257TMP046R02    237DPT046
