,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AU2,AW1,AW2,AW3,AW4,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MV1,MW1,OC1,REM,EQD
0,72073800267,2022-01-01T00:15:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0041,1","00305,1,9,N","016093,1,9,9","+0220,1","+0210,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10169,1,99999,9",,,"0077,1",MET067METAR KTVI 010015Z AUTO 21008G15KT 10SM OVC010 22/21 A3003 RMK AO2=,
1,72073800267,2022-01-01T00:35:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0046,1","00305,1,9,N","016093,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10173,1,99999,9",,,"0072,1",MET067METAR KTVI 010035Z AUTO 21009G14KT 10SM OVC010 22/20 A3004 RMK AO2=,
2,72073800267,2022-01-01T00:55:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0041,1","00305,1,9,N","016093,1,9,9","+0220,1","+0210,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10173,1,99999,9",,,,MET064METAR KTVI 010055Z AUTO 21008KT 10SM OVC010 22/21 A3004 RMK AO2=,
3,72073800267,2022-01-01T01:15:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0046,1","00305,1,9,N","016093,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10173,1,99999,9",,,,MET064METAR KTVI 010115Z AUTO 21009KT 10SM OVC010 22/20 A3004 RMK AO2=,
4,72073800267,2022-01-01T01:35:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0046,1","00305,1,9,N","016093,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10173,1,99999,9",,,,MET064METAR KTVI 010135Z AUTO 21009KT 10SM OVC010 22/20 A3004 RMK AO2=,
5,72073800267,2022-01-01T01:55:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0036,1","00305,1,9,N","016093,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10173,1,99999,9",,,,MET064METAR KTVI 010155Z AUTO 21007KT 10SM OVC010 22/20 A3004 RMK AO2=,
6,72073800267,2022-01-01T02:15:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0041,1","00366,1,9,N","016093,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"4,99,1,+00366,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10173,1,99999,9",,,,MET064METAR KTVI 010215Z AUTO 21008KT 10SM OVC012 22/20 A3004 RMK AO2=,
7,72073800267,2022-01-01T02:35:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0036,1","00366,1,9,N","011265,1,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,,,,,,,"3,99,1,+00366,1,9","4,99,1,+00488,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00366,1,99,9,99,9","10173,1,99999,9",,,,MET070METAR KTVI 010235Z AUTO 21007KT 7SM BKN012 OVC016 22/20 A3004 RMK AO2=,
8,72073800267,2022-01-01T02:55:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"210,1,N,0031,1","00335,1,9,N","016093,1,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,,,,,,,"3,99,1,+00335,1,9","4,99,1,+00518,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10176,1,99999,9",,,,MET071METAR KTVI 010255Z AUTO 21006KT 10SM BKN011 OVC017 21/20 A3005 RMK AO2=,
9,72073800267,2022-01-01T03:15:00,4,30.902,-83.881,80.2,"THOMASVILLE REGIONAL AIRPORT, GA US",FM-15,99999,V020,"200,1,N,0036,1","00518,1,9,N","016093,1,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,,,,,,,"2,99,1,+00335,1,9","4,99,1,+00518,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10176,1,99999,9",,,,MET071METAR KTVI 010315Z AUTO 20007KT 10SM SCT011 OVC017 21/20 A3005 RMK AO2=,
