,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
0,72212504829,2022-01-01T00:16:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0031,1","00701,1,9,N","011265,1,9,9","+0023,1","-0001,1","99999,9",,,,,,,,,,,,"4,99,1,+00701,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9",,,,,"10068,1,99999,9",,,MET073METAR KHYX 010016Z AUTO 04006KT 7SM OVC023 02/00 A2973 RMK AO2 T00231001=,
1,72212504829,2022-01-01T00:35:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"060,1,N,0036,1","00701,1,9,N","011265,1,9,9","+0025,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00701,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9",,,,,"10064,1,99999,9",,,MET073METAR KHYX 010035Z AUTO 06007KT 7SM OVC023 03/00 A2972 RMK AO2 T00250000=,
2,72212504829,2022-01-01T00:55:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"070,1,N,0026,1","00640,1,9,N","011265,1,9,9","+0025,1","-0001,1","99999,9",,,,,,,,,,,,"4,99,1,+00640,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9",,,,,"10064,1,99999,9",,,MET073METAR KHYX 010055Z AUTO 07005KT 7SM OVC021 03/00 A2972 RMK AO2 T00251001=,
3,72212504829,2022-01-01T01:15:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"020,1,N,0015,1","00640,1,9,N","011265,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00640,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9",,,,,"10068,1,99999,9",,,MET073METAR KHYX 010115Z AUTO 02003KT 7SM OVC021 02/00 A2973 RMK AO2 T00230000=,
4,72212504829,2022-01-01T01:35:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00640,1,9,N","011265,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,"51,1",,,,,"4,99,1,+00640,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9",,,,,"10071,1,99999,9",,,MET077METAR KHYX 010135Z AUTO 00000KT 7SM -DZ OVC021 02/00 A2974 RMK AO2 T00230000=,
5,72212504829,2022-01-01T01:55:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0021,1","00640,1,9,N","006437,1,9,9","+0018,1","-0001,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00640,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9",,,,,"10068,1,99999,9",,,MET077METAR KHYX 010155Z AUTO 04004KT 4SM -SN OVC021 02/00 A2973 RMK AO2 T00181001=,
6,72212504829,2022-01-01T02:15:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00518,1,9,N","011265,1,9,9","+0020,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00518,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9",,,,,"10074,1,99999,9",,,MET073METAR KHYX 010215Z AUTO 00000KT 7SM OVC017 02/00 A2975 RMK AO2 T00200000=,
7,72212504829,2022-01-01T02:35:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0026,1","00518,1,9,N","006437,1,9,9","+0020,1","+0000,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00518,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9",,,,,"10068,1,99999,9",,,MET077METAR KHYX 010235Z AUTO 04005KT 4SM -SN OVC017 02/00 A2973 RMK AO2 T00200000=,
8,72212504829,2022-01-01T02:55:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0026,1","00579,1,9,N","006437,1,9,9","+0018,1","+0000,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00579,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9",,,,,"10068,1,99999,9",,,MET077METAR KHYX 010255Z AUTO 04005KT 4SM -SN OVC019 02/00 A2973 RMK AO2 T00180000=,
9,72212504829,2022-01-01T03:15:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"050,1,N,0031,1","00518,1,9,N","006437,1,9,9","+0018,1","+0000,1","99999,9",,,,,,,"40,1",,,,,"2,99,1,+00244,1,9","4,99,1,+00518,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9",,,,,"10061,1,99999,9",,,MET083METAR KHYX 010315Z AUTO 05006KT 4SM UP SCT008 OVC017 02/00 A2971 RMK AO2 T00180000=,
10,72212504829,2022-01-01T03:35:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0031,1","00518,1,9,N","004828,1,9,9","+0017,1","+0000,1","99999,9",,,,,,,"40,1",,,,,"2,99,1,+00244,1,9","4,99,1,+00518,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00244,1,99,9,99,9",,,,,"10061,1,99999,9",,,MET083METAR KHYX 010335Z AUTO 04006KT 3SM UP SCT008 OVC017 02/00 A2971 RMK AO2 T00170000=,
11,72212504829,2022-01-01T03:55:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"020,1,N,0021,1","00305,1,9,N","004828,1,9,9","+0017,1","+0001,1","99999,9",,,,,,,"10,1",,,,,"3,99,1,+00305,1,9","4,99,1,+00457,1,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9",,,,,"10061,1,99999,9",,,MET083METAR KHYX 010355Z AUTO 02004KT 3SM BR BKN010 OVC015 02/00 A2971 RMK AO2 T00170001=,
12,72212504829,2022-01-01T04:15:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"020,1,N,0015,1","00305,1,9,N","002816,1,9,9","+0016,1","+0001,1","99999,9",,,,,,,"40,1",,,,,"4,99,1,+00305,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9",,,,,"10061,1,99999,9",,,MET080METAR KHYX 010415Z AUTO 02003KT 1 3/4SM UP OVC010 02/00 A2971 RMK AO2 T00160001=,
13,72212504829,2022-01-01T04:35:00,4,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,99999,V020,"030,1,N,0015,1","00396,1,9,N","003219,1,9,9","+0016,1","+0002,1","99999,9",,,,,,,"40,1",,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,,,"10061,1,99999,9",,,MET076METAR KHYX 010435Z AUTO 03003KT 2SM UP OVC013 02/00 A2971 RMK AO2 T00160002=,
