,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,MA1,MW1,OC1,REM,EQD
0,72234654824,2022-01-01T00:15:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"050,1,N,0021,1","00518,1,9,N","016093,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00518,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9",,,"10058,1,99999,9",,,MET074METAR KRNP 010015Z AUTO 05004KT 10SM OVC017 02/00 A2970 RMK AO2 T00230000=,
1,72234654824,2022-01-01T00:35:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"070,1,N,0015,1","00457,1,9,N","016093,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00457,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9",,,"10058,1,99999,9",,,MET074METAR KRNP 010035Z AUTO 07003KT 10SM OVC015 02/00 A2970 RMK AO2 T00230000=,
2,72234654824,2022-01-01T00:55:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"060,1,N,0015,1","00396,1,9,N","011265,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,"10058,1,99999,9",,,MET073METAR KRNP 010055Z AUTO 06003KT 7SM OVC013 02/00 A2970 RMK AO2 T00230000=,
3,72234654824,2022-01-01T01:15:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"040,1,N,0026,1","00396,1,9,N","016093,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,"10051,1,99999,9",,,MET074METAR KRNP 010115Z AUTO 04005KT 10SM OVC013 02/00 A2968 RMK AO2 T00230000=,
4,72234654824,2022-01-01T01:35:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"020,1,N,0021,1","00396,1,9,N","016093,1,9,9","+0023,1","+0000,1","99999,9",,,,,,,,,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,"10058,1,99999,9",,,MET074METAR KRNP 010135Z AUTO 02004KT 10SM OVC013 02/00 A2970 RMK AO2 T00230000=,
5,72234654824,2022-01-01T01:55:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"030,1,N,0015,1","00396,1,9,N","008047,1,9,9","+0020,1","+0003,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,"10061,1,99999,9",,,MET076METAR KRNP 010155Z AUTO 03003KT 5SM BR OVC013 02/00 A2971 RMK AO2 T00200003=,
6,72234654824,2022-01-01T02:15:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"020,1,N,0026,1","00396,1,9,N","004023,1,9,9","+0017,1","+0005,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00396,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00396,1,99,9,99,9",,,"10061,1,99999,9",,,MET081METAR KRNP 010215Z AUTO 02005KT 2 1/2SM -SN OVC013 02/01 A2971 RMK AO2 T00170005=,
7,72234654824,2022-01-01T02:35:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"030,1,N,0021,1","00335,1,9,N","004023,1,9,9","+0015,1","+0007,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00335,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9",,,"10058,1,99999,9",,,MET081METAR KRNP 010235Z AUTO 03004KT 2 1/2SM -SN OVC011 02/01 A2970 RMK AO2 T00150007=,
8,72234654824,2022-01-01T02:55:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"030,1,N,0015,1","00274,1,9,N","003219,1,9,9","+0014,1","+0010,1","99999,9",,,,,,,"71,1",,,,,"4,99,1,+00274,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00274,1,99,9,99,9",,,"10054,1,99999,9",,,MET077METAR KRNP 010255Z AUTO 03003KT 2SM -SN OVC009 01/01 A2969 RMK AO2 T00140010=,
9,72234654824,2022-01-01T03:15:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"030,1,N,0015,1","00152,1,9,N","003219,1,9,9","+0015,1","+0012,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00152,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10054,1,99999,9",,,MET076METAR KRNP 010315Z AUTO 03003KT 2SM BR OVC005 02/01 A2969 RMK AO2 T00150012=,
10,72234654824,2022-01-01T03:35:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00091,1,9,N","004023,1,9,9","+0015,1","+0012,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00091,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,1,99999,9",,,MET080METAR KRNP 010335Z AUTO 00000KT 2 1/2SM BR OVC003 02/01 A2969 RMK AO2 T00150012=,
11,72234654824,2022-01-01T03:55:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00091,1,9,N","004023,1,9,9","+0015,1","+0012,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00091,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,1,99999,9",,,MET080METAR KRNP 010355Z AUTO 00000KT 2 1/2SM BR OVC003 02/01 A2969 RMK AO2 T00150012=,
12,72234654824,2022-01-01T04:15:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"999,9,C,0000,1","00091,1,9,N","004023,1,9,9","+0015,1","+0012,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00091,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10051,1,99999,9",,,MET080METAR KRNP 010415Z AUTO 00000KT 2 1/2SM BR OVC003 02/01 A2968 RMK AO2 T00150012=,
13,72234654824,2022-01-01T04:35:00,4,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,99999,V020,"050,1,N,0021,1","00091,1,9,N","004023,1,9,9","+0015,1","+0014,1","99999,9",,,,,,,"10,1",,,,,"4,99,1,+00091,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,1,99999,9",,,MET080METAR KRNP 010435Z AUTO 05004KT 2 1/2SM BR OVC003 02/01 A2969 RMK AO2 T00150014=,
14,72234654824,2022-01-01T04:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0015,5","00091,5,M,N","003219,5,N,5","+0015,5","+0013,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9","240,M,+0037,1","240,N,+0007,1","10054,5,09789,5",,,MET09812/31/21 23:55:02 METAR KRNP 010455Z 02003KT 2SM BR OVC003 02/01 A2969 RMK AO2 T00150013 400370007,
15,72234654824,2022-01-01T05:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"999,9,C,0000,5","00091,5,M,N","003219,5,N,5","+0013,5","+0012,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,5,09789,5",,,MET08801/01/22 00:15:02 METAR KRNP 010515Z 00000KT 2SM BR OVC003 01/01 A2969 RMK AO2 T00130012,
16,72234654824,2022-01-01T05:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0015,5","00091,5,M,N","002816,5,N,5","+0015,5","+0013,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,5,09789,5",,,MET09201/01/22 00:35:02 METAR KRNP 010535Z 02003KT 1 3/4SM BR OVC003 02/01 A2969 RMK AO2 T00150013,
17,72234654824,2022-01-01T05:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"030,5,N,0026,5","00091,5,M,N","002414,5,N,5","+0013,5","+0013,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9","060,M,+0025,1","060,N,+0013,1","10051,5,09786,5",,,MET10401/01/22 00:55:02 METAR KRNP 010555Z 03005KT 1 1/2SM BR OVC003 01/01 A2968 RMK AO2 T00130013 10025 20013,
18,72234654824,2022-01-01T06:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0021,5","00091,5,M,N","002012,5,N,5","+0013,5","+0013,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,5,09789,5",,,MET09201/01/22 01:15:02 METAR KRNP 010615Z 02004KT 1 1/4SM BR OVC003 01/01 A2969 RMK AO2 T00130013,
19,72234654824,2022-01-01T06:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"030,5,N,0021,5","00091,5,M,N","002012,5,N,5","+0012,5","+0012,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10054,5,09789,5",,,MET09201/01/22 01:35:02 METAR KRNP 010635Z 03004KT 1 1/4SM BR OVC003 01/01 A2969 RMK AO2 T00120012,
20,72234654824,2022-01-01T06:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"010,5,N,0021,5","00091,5,M,N","002012,5,N,5","+0012,5","+0012,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10058,5,09793,5",,,MET09201/01/22 01:55:02 METAR KRNP 010655Z 01004KT 1 1/4SM BR OVC003 01/01 A2970 RMK AO2 T00120012,
21,72234654824,2022-01-01T07:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"360,5,N,0021,5","00091,5,M,N","002012,5,N,5","+0010,5","+0010,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10061,5,09796,5",,,MET09201/01/22 02:15:02 METAR KRNP 010715Z 36004KT 1 1/4SM BR OVC003 01/01 A2971 RMK AO2 T00100010,
22,72234654824,2022-01-01T07:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"360,5,N,0026,5","00091,5,M,N","002012,5,N,5","+0010,5","+0010,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10064,5,09799,5",,,MET09201/01/22 02:35:02 METAR KRNP 010735Z 36005KT 1 1/4SM BR OVC003 01/01 A2972 RMK AO2 T00100010,
23,72234654824,2022-01-01T07:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"360,5,N,0026,5","00091,5,M,N","002414,5,N,5","+0010,5","+0010,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10068,5,09803,5",,,MET09201/01/22 02:55:02 METAR KRNP 010755Z 36005KT 1 1/2SM BR OVC003 01/01 A2973 RMK AO2 T00100010,
24,72234654824,2022-01-01T08:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"360,5,N,0036,5","00091,5,M,N","002414,5,N,5","+0008,5","+0008,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10068,5,09803,5",,,MET09201/01/22 03:15:02 METAR KRNP 010815Z 36007KT 1 1/2SM BR OVC003 01/01 A2973 RMK AO2 T00080008,
25,72234654824,2022-01-01T08:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"360,5,N,0031,5","00091,5,M,N","002414,5,N,5","+0007,5","+0007,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10071,5,09806,5",,,MET09201/01/22 03:35:02 METAR KRNP 010835Z 36006KT 1 1/2SM BR OVC003 01/01 A2974 RMK AO2 T00070007,
